track_id,song_name,external_url,duration_ms,explicit,disc_number,type,song_uri,album_id
0ajJYhORqGaKmQDMkmFu84,Conflict Cartography,https://open.spotify.com/track/0ajJYhORqGaKmQDMkmFu84,300080,False,1,track,spotify:track:0ajJYhORqGaKmQDMkmFu84,0drWek4H5NfTa2BWAFA3iB
7oyTUCYrSf14EZmOvBgvTt,Monomyth,https://open.spotify.com/track/7oyTUCYrSf14EZmOvBgvTt,206511,False,2,track,spotify:track:7oyTUCYrSf14EZmOvBgvTt,0drWek4H5NfTa2BWAFA3iB
2qJpcZnMUQNOdAPxsuhFFe,Red Miso,https://open.spotify.com/track/2qJpcZnMUQNOdAPxsuhFFe,271053,False,3,track,spotify:track:2qJpcZnMUQNOdAPxsuhFFe,0drWek4H5NfTa2BWAFA3iB
6gZhmhlrI2fBKWzcEgCIOw,Gestaltzerfall,https://open.spotify.com/track/6gZhmhlrI2fBKWzcEgCIOw,286360,False,4,track,spotify:track:6gZhmhlrI2fBKWzcEgCIOw,0drWek4H5NfTa2BWAFA3iB
2f73K9E0KqxlxpgKjqtXYa,Asahi,https://open.spotify.com/track/2f73K9E0KqxlxpgKjqtXYa,111240,False,5,track,spotify:track:2f73K9E0KqxlxpgKjqtXYa,0drWek4H5NfTa2BWAFA3iB
1UpzWP1vm3xEdCnSx7uiF0,The Problem of Other Minds,https://open.spotify.com/track/1UpzWP1vm3xEdCnSx7uiF0,152840,False,6,track,spotify:track:1UpzWP1vm3xEdCnSx7uiF0,0drWek4H5NfTa2BWAFA3iB
6qDXhIWYUfY192xBLEj6SM,Thoughts and Prayers,https://open.spotify.com/track/6qDXhIWYUfY192xBLEj6SM,348840,False,7,track,spotify:track:6qDXhIWYUfY192xBLEj6SM,0drWek4H5NfTa2BWAFA3iB
55OB1bY0fjE6IS13s227yg,Micro-Aggressions,https://open.spotify.com/track/55OB1bY0fjE6IS13s227yg,250946,False,8,track,spotify:track:55OB1bY0fjE6IS13s227yg,0drWek4H5NfTa2BWAFA3iB
1797Td0Zgt1XGUmxtryd7W,Gordian Naught,https://open.spotify.com/track/1797Td0Zgt1XGUmxtryd7W,288586,False,9,track,spotify:track:1797Td0Zgt1XGUmxtryd7W,0drWek4H5NfTa2BWAFA3iB
2PA0tMnMWtFPp5V69xVsj6,Arithmophobia - Live from Phoenix,https://open.spotify.com/track/2PA0tMnMWtFPp5V69xVsj6,375146,False,1,track,spotify:track:2PA0tMnMWtFPp5V69xVsj6,3dOgiAuM86T2q3tKZIqZoz
50e50gdnZeBu80QvZrTGgn,Tempting Time - Live from Nashville,https://open.spotify.com/track/50e50gdnZeBu80QvZrTGgn,325253,False,2,track,spotify:track:50e50gdnZeBu80QvZrTGgn,3dOgiAuM86T2q3tKZIqZoz
0YdTXUV7bNPm3ecjSwE8Iy,Ectogenesis - Live from San Antonio,https://open.spotify.com/track/0YdTXUV7bNPm3ecjSwE8Iy,297000,False,3,track,spotify:track:0YdTXUV7bNPm3ecjSwE8Iy,3dOgiAuM86T2q3tKZIqZoz
2qTZWQo6j4WJcU92nzz9Fz,Cognitive Contortions - Live from Denver,https://open.spotify.com/track/2qTZWQo6j4WJcU92nzz9Fz,280133,False,4,track,spotify:track:2qTZWQo6j4WJcU92nzz9Fz,3dOgiAuM86T2q3tKZIqZoz
4S1ay4kxJt1UJiksb5luCq,Tooth And Claw - Live from Seattle,https://open.spotify.com/track/4S1ay4kxJt1UJiksb5luCq,276653,False,5,track,spotify:track:4S1ay4kxJt1UJiksb5luCq,3dOgiAuM86T2q3tKZIqZoz
31QR0UmLRNUsFnTMk93XHb,Nephele - Live from Detroit,https://open.spotify.com/track/31QR0UmLRNUsFnTMk93XHb,272626,False,6,track,spotify:track:31QR0UmLRNUsFnTMk93XHb,3dOgiAuM86T2q3tKZIqZoz
1hFH99srttKULXjYL9InCX,Physical Education - Live from Philadelphia,https://open.spotify.com/track/1hFH99srttKULXjYL9InCX,288213,False,7,track,spotify:track:1hFH99srttKULXjYL9InCX,3dOgiAuM86T2q3tKZIqZoz
6W6zxnTS9eoLjF6M0HAJSC,Brain Dance - Live from Dallas,https://open.spotify.com/track/6W6zxnTS9eoLjF6M0HAJSC,440066,False,8,track,spotify:track:6W6zxnTS9eoLjF6M0HAJSC,3dOgiAuM86T2q3tKZIqZoz
7fY0d0ssLVshlLNZDnHyQk,Private Visions Of The World - Live from Salt Lake City,https://open.spotify.com/track/7fY0d0ssLVshlLNZDnHyQk,308040,False,9,track,spotify:track:7fY0d0ssLVshlLNZDnHyQk,3dOgiAuM86T2q3tKZIqZoz
5pkAR66E8myJigkzJOjMGO,Kascade - Live from Providence,https://open.spotify.com/track/5pkAR66E8myJigkzJOjMGO,332480,False,10,track,spotify:track:5pkAR66E8myJigkzJOjMGO,3dOgiAuM86T2q3tKZIqZoz
5DEpQAD08rF3acJzWvfyd2,Inner Assassins - Live from Los Angeles,https://open.spotify.com/track/5DEpQAD08rF3acJzWvfyd2,259506,False,11,track,spotify:track:5DEpQAD08rF3acJzWvfyd2,3dOgiAuM86T2q3tKZIqZoz
7HiH06On60or0MSJsk8Yyg,The Woven Web - Live from Portland,https://open.spotify.com/track/7HiH06On60or0MSJsk8Yyg,240720,False,12,track,spotify:track:7HiH06On60or0MSJsk8Yyg,3dOgiAuM86T2q3tKZIqZoz
7CDIGR91QCm55ItEeLaYPi,CAFO - Live from Las Vegas,https://open.spotify.com/track/7CDIGR91QCm55ItEeLaYPi,401093,False,13,track,spotify:track:7CDIGR91QCm55ItEeLaYPi,3dOgiAuM86T2q3tKZIqZoz
3JHeDGTzb8RndNpq2MGclj,Arithmophobia,https://open.spotify.com/track/3JHeDGTzb8RndNpq2MGclj,361013,False,1,track,spotify:track:3JHeDGTzb8RndNpq2MGclj,13jTvLPx2N9JbLOmq4yYQW
2iG3f8JUFgLIVddPlP1zap,Ectogenesis,https://open.spotify.com/track/2iG3f8JUFgLIVddPlP1zap,295693,False,2,track,spotify:track:2iG3f8JUFgLIVddPlP1zap,13jTvLPx2N9JbLOmq4yYQW
4tQN38OOwoBU4yROKfZF59,Cognitive Contortions,https://open.spotify.com/track/4tQN38OOwoBU4yROKfZF59,269213,False,3,track,spotify:track:4tQN38OOwoBU4yROKfZF59,13jTvLPx2N9JbLOmq4yYQW
3kt0MiWmUr55mNpOyizm83,Inner Assassins,https://open.spotify.com/track/3kt0MiWmUr55mNpOyizm83,329560,False,4,track,spotify:track:3kt0MiWmUr55mNpOyizm83,13jTvLPx2N9JbLOmq4yYQW
472vi5RE3rBOQlB3TVAn4O,Private Visions of the World,https://open.spotify.com/track/472vi5RE3rBOQlB3TVAn4O,296666,False,5,track,spotify:track:472vi5RE3rBOQlB3TVAn4O,13jTvLPx2N9JbLOmq4yYQW
2S9HEGqaXcLVrudgt3SesA,Backpfeifengesicht,https://open.spotify.com/track/2S9HEGqaXcLVrudgt3SesA,266586,False,6,track,spotify:track:2S9HEGqaXcLVrudgt3SesA,13jTvLPx2N9JbLOmq4yYQW
7hNVPBvZ0VjbLnQ407O9tS,Transcentience,https://open.spotify.com/track/7hNVPBvZ0VjbLnQ407O9tS,331680,False,7,track,spotify:track:7hNVPBvZ0VjbLnQ407O9tS,13jTvLPx2N9JbLOmq4yYQW
07wg107EmLjYJxvKUPSSpV,The Glass Bridge,https://open.spotify.com/track/07wg107EmLjYJxvKUPSSpV,303533,False,8,track,spotify:track:07wg107EmLjYJxvKUPSSpV,13jTvLPx2N9JbLOmq4yYQW
7cO6rxZSi7Ura92FtspKaf,The Brain Dance,https://open.spotify.com/track/7cO6rxZSi7Ura92FtspKaf,420746,False,9,track,spotify:track:7cO6rxZSi7Ura92FtspKaf,13jTvLPx2N9JbLOmq4yYQW
33Y6akOm1Sk2g6nXxNVh9x,Apeirophobia,https://open.spotify.com/track/33Y6akOm1Sk2g6nXxNVh9x,298760,False,10,track,spotify:track:33Y6akOm1Sk2g6nXxNVh9x,13jTvLPx2N9JbLOmq4yYQW
5WvMZ7AC5DOp0fVY5mwpMi,Tempting Time,https://open.spotify.com/track/5WvMZ7AC5DOp0fVY5mwpMi,323935,False,1,track,spotify:track:5WvMZ7AC5DOp0fVY5mwpMi,5hVRBZCUCcU3UIhxNikyhf
6tAXfvwilSs6mQJVyFmEb3,Soraya,https://open.spotify.com/track/6tAXfvwilSs6mQJVyFmEb3,267000,False,2,track,spotify:track:6tAXfvwilSs6mQJVyFmEb3,5hVRBZCUCcU3UIhxNikyhf
5tBsFP9XBdphXhbWlwXiCe,Thoroughly at Home,https://open.spotify.com/track/5tBsFP9XBdphXhbWlwXiCe,242068,False,3,track,spotify:track:5tBsFP9XBdphXhbWlwXiCe,5hVRBZCUCcU3UIhxNikyhf
1ZWZO4Uc2W4U6ISIFtBCuJ,On Impulse,https://open.spotify.com/track/1ZWZO4Uc2W4U6ISIFtBCuJ,369677,False,4,track,spotify:track:1ZWZO4Uc2W4U6ISIFtBCuJ,5hVRBZCUCcU3UIhxNikyhf
4mYodedV6gqsKoSWeB8tTK,Tessitura,https://open.spotify.com/track/4mYodedV6gqsKoSWeB8tTK,66374,False,5,track,spotify:track:4mYodedV6gqsKoSWeB8tTK,5hVRBZCUCcU3UIhxNikyhf
0l9li2UFXXFRglpy7GMYGs,Behaving Badly,https://open.spotify.com/track/0l9li2UFXXFRglpy7GMYGs,266400,False,6,track,spotify:track:0l9li2UFXXFRglpy7GMYGs,5hVRBZCUCcU3UIhxNikyhf
1UGLxDVUf3XJRG1zCyeUUX,The Price of Everything and the Value of Nothing,https://open.spotify.com/track/1UGLxDVUf3XJRG1zCyeUUX,332289,False,7,track,spotify:track:1UGLxDVUf3XJRG1zCyeUUX,5hVRBZCUCcU3UIhxNikyhf
6i8TDqnHN7GF9uU3LJCklq,Cafo,https://open.spotify.com/track/6i8TDqnHN7GF9uU3LJCklq,401129,False,8,track,spotify:track:6i8TDqnHN7GF9uU3LJCklq,5hVRBZCUCcU3UIhxNikyhf
0IvrpwemECloZcEXItGbyZ,Inamorata,https://open.spotify.com/track/0IvrpwemECloZcEXItGbyZ,368083,False,9,track,spotify:track:0IvrpwemECloZcEXItGbyZ,5hVRBZCUCcU3UIhxNikyhf
65vUiT6J8LMq6e8YcKTCeC,Point to Point,https://open.spotify.com/track/65vUiT6J8LMq6e8YcKTCeC,104181,False,10,track,spotify:track:65vUiT6J8LMq6e8YcKTCeC,5hVRBZCUCcU3UIhxNikyhf
2OKYqk9p2fRFVQwaMPDSqY,Modern Meat,https://open.spotify.com/track/2OKYqk9p2fRFVQwaMPDSqY,126528,False,11,track,spotify:track:2OKYqk9p2fRFVQwaMPDSqY,5hVRBZCUCcU3UIhxNikyhf
3PhooEcnMRr8mfNiXW2fF0,Song of Solomon,https://open.spotify.com/track/3PhooEcnMRr8mfNiXW2fF0,256588,False,12,track,spotify:track:3PhooEcnMRr8mfNiXW2fF0,5hVRBZCUCcU3UIhxNikyhf
5Z8RhEmudSOtX5tJhZ1Yvo,Wave of Babies,https://open.spotify.com/track/5Z8RhEmudSOtX5tJhZ1Yvo,329823,False,13,track,spotify:track:5Z8RhEmudSOtX5tJhZ1Yvo,5hVRBZCUCcU3UIhxNikyhf
13vVuO0MNV5AbBgcXOM0S8,Kalimba - Bonus Track,https://open.spotify.com/track/13vVuO0MNV5AbBgcXOM0S8,398186,False,14,track,spotify:track:13vVuO0MNV5AbBgcXOM0S8,5hVRBZCUCcU3UIhxNikyhf
1oR5bPDaYrsruSY6eeecDk,Orea - Demo,https://open.spotify.com/track/1oR5bPDaYrsruSY6eeecDk,117013,False,15,track,spotify:track:1oR5bPDaYrsruSY6eeecDk,5hVRBZCUCcU3UIhxNikyhf
7hY2Kc7Hvu0BudOoQwu8Ez,Kascade,https://open.spotify.com/track/7hY2Kc7Hvu0BudOoQwu8Ez,323728,False,1,track,spotify:track:7hY2Kc7Hvu0BudOoQwu8Ez,3BfAgyF1AdYKaOO7EBoDw4
6s1vvfK1oFGH3ue4hkERCx,Lippincott,https://open.spotify.com/track/6s1vvfK1oFGH3ue4hkERCx,262292,False,2,track,spotify:track:6s1vvfK1oFGH3ue4hkERCx,3BfAgyF1AdYKaOO7EBoDw4
3X0yUZJfy2ygoDqNeBxZno,Air Chrysalis,https://open.spotify.com/track/3X0yUZJfy2ygoDqNeBxZno,305969,False,3,track,spotify:track:3X0yUZJfy2ygoDqNeBxZno,3BfAgyF1AdYKaOO7EBoDw4
6791xRWIf9DWEudbE7cg9v,Another Year,https://open.spotify.com/track/6791xRWIf9DWEudbE7cg9v,230934,False,4,track,spotify:track:6791xRWIf9DWEudbE7cg9v,3BfAgyF1AdYKaOO7EBoDw4
0JGuSgtmWyfuxLGBs2wX0C,Physical Education,https://open.spotify.com/track/0JGuSgtmWyfuxLGBs2wX0C,280955,False,5,track,spotify:track:0JGuSgtmWyfuxLGBs2wX0C,3BfAgyF1AdYKaOO7EBoDw4
43kvE0evfgiatOSth0XyFa,Tooth and Claw,https://open.spotify.com/track/43kvE0evfgiatOSth0XyFa,263206,False,6,track,spotify:track:43kvE0evfgiatOSth0XyFa,3BfAgyF1AdYKaOO7EBoDw4
0QkQT5EQz02GcM0gAA8cLI,Crescent,https://open.spotify.com/track/0QkQT5EQz02GcM0gAA8cLI,263622,False,7,track,spotify:track:0QkQT5EQz02GcM0gAA8cLI,3BfAgyF1AdYKaOO7EBoDw4
0opZ1ZwRKZAiZWXhDHFs2T,The Future That Awaited Me,https://open.spotify.com/track/0opZ1ZwRKZAiZWXhDHFs2T,273365,False,8,track,spotify:track:0opZ1ZwRKZAiZWXhDHFs2T,3BfAgyF1AdYKaOO7EBoDw4
69fpb1fAdyuO6DHx6daRRE,Para Mexer,https://open.spotify.com/track/69fpb1fAdyuO6DHx6daRRE,269560,False,9,track,spotify:track:69fpb1fAdyuO6DHx6daRRE,3BfAgyF1AdYKaOO7EBoDw4
4j6ascTxs21rACPdPpqFQN,The Woven Web,https://open.spotify.com/track/4j6ascTxs21rACPdPpqFQN,247780,False,10,track,spotify:track:4j6ascTxs21rACPdPpqFQN,3BfAgyF1AdYKaOO7EBoDw4
6IATawAyZRMbiYTY2wpkyZ,Mind-Spun,https://open.spotify.com/track/6IATawAyZRMbiYTY2wpkyZ,275586,False,11,track,spotify:track:6IATawAyZRMbiYTY2wpkyZ,3BfAgyF1AdYKaOO7EBoDw4
6OrrIP1n3M3psLx38w6CzG,Nephele,https://open.spotify.com/track/6OrrIP1n3M3psLx38w6CzG,271000,False,12,track,spotify:track:6OrrIP1n3M3psLx38w6CzG,3BfAgyF1AdYKaOO7EBoDw4
6TusaYvpkgyJhJ8tvXo03P,An Infinite Regression,https://open.spotify.com/track/6TusaYvpkgyJhJ8tvXo03P,205853,False,1,track,spotify:track:6TusaYvpkgyJhJ8tvXo03P,7IoPLwGpntUE7VaEXEU67i
0KU0ZSnnPo5QjncWPz1g1f,Odessa,https://open.spotify.com/track/0KU0ZSnnPo5QjncWPz1g1f,254333,False,2,track,spotify:track:0KU0ZSnnPo5QjncWPz1g1f,7IoPLwGpntUE7VaEXEU67i
7t3zWOXjlXQ2NYeEc6EoYr,Somnarium,https://open.spotify.com/track/7t3zWOXjlXQ2NYeEc6EoYr,255320,False,3,track,spotify:track:7t3zWOXjlXQ2NYeEc6EoYr,7IoPLwGpntUE7VaEXEU67i
7a4YErm5cYs3ZLUndwp2pr,Earth Departure,https://open.spotify.com/track/7a4YErm5cYs3ZLUndwp2pr,310373,False,4,track,spotify:track:7a4YErm5cYs3ZLUndwp2pr,7IoPLwGpntUE7VaEXEU67i
60CmclXg3KdoiZ7TvUY2zD,Isolated Incidents,https://open.spotify.com/track/60CmclXg3KdoiZ7TvUY2zD,227866,False,5,track,spotify:track:60CmclXg3KdoiZ7TvUY2zD,7IoPLwGpntUE7VaEXEU67i
53MxeFpq33qUYUT9yue3Yj,Do Not Go Gently,https://open.spotify.com/track/53MxeFpq33qUYUT9yue3Yj,221133,False,6,track,spotify:track:53MxeFpq33qUYUT9yue3Yj,7IoPLwGpntUE7VaEXEU67i
3pqgn0ZL25lhuOfZcxWMB2,New Eden,https://open.spotify.com/track/3pqgn0ZL25lhuOfZcxWMB2,160640,False,7,track,spotify:track:3pqgn0ZL25lhuOfZcxWMB2,7IoPLwGpntUE7VaEXEU67i
0zm05SKzrruqg7hMXRfW2S,Cylindrical Sea,https://open.spotify.com/track/0zm05SKzrruqg7hMXRfW2S,272706,False,8,track,spotify:track:0zm05SKzrruqg7hMXRfW2S,7IoPLwGpntUE7VaEXEU67i
3zndiaSaHvTkzAk93J6OyZ,Espera,https://open.spotify.com/track/3zndiaSaHvTkzAk93J6OyZ,133866,False,9,track,spotify:track:3zndiaSaHvTkzAk93J6OyZ,7IoPLwGpntUE7VaEXEU67i
55RgRMx7tECFL7ZgAsJbC9,To Lead You to an Overwhelming Question,https://open.spotify.com/track/55RgRMx7tECFL7ZgAsJbC9,290226,False,10,track,spotify:track:55RgRMx7tECFL7ZgAsJbC9,7IoPLwGpntUE7VaEXEU67i
5OYumxiBEEEL5Hq2fGhpsS,Weightless,https://open.spotify.com/track/5OYumxiBEEEL5Hq2fGhpsS,315986,False,11,track,spotify:track:5OYumxiBEEEL5Hq2fGhpsS,7IoPLwGpntUE7VaEXEU67i
70jpGVeinaEXDGB6pZlpoG,David,https://open.spotify.com/track/70jpGVeinaEXDGB6pZlpoG,147666,False,12,track,spotify:track:70jpGVeinaEXDGB6pZlpoG,7IoPLwGpntUE7VaEXEU67i
3TwKLIOl2hIPDE7z7rvOH3,Tempting Time,https://open.spotify.com/track/3TwKLIOl2hIPDE7z7rvOH3,323933,False,1,track,spotify:track:3TwKLIOl2hIPDE7z7rvOH3,1BRtQtljRJIxroJXI20K39
0QZ3iZwNJHS9SXXyiJsU30,Soraya,https://open.spotify.com/track/0QZ3iZwNJHS9SXXyiJsU30,267000,False,2,track,spotify:track:0QZ3iZwNJHS9SXXyiJsU30,1BRtQtljRJIxroJXI20K39
3kmX1Ok6CoYL9PrIWXwyRB,Thoroughly at Home,https://open.spotify.com/track/3kmX1Ok6CoYL9PrIWXwyRB,242066,False,3,track,spotify:track:3kmX1Ok6CoYL9PrIWXwyRB,1BRtQtljRJIxroJXI20K39
2PTvM4E7vKBfS6BQ5rOhjp,On Impulse,https://open.spotify.com/track/2PTvM4E7vKBfS6BQ5rOhjp,369666,False,4,track,spotify:track:2PTvM4E7vKBfS6BQ5rOhjp,1BRtQtljRJIxroJXI20K39
2mmbc72f2GyTxVuZPYbaRV,Tessitura,https://open.spotify.com/track/2mmbc72f2GyTxVuZPYbaRV,66373,False,5,track,spotify:track:2mmbc72f2GyTxVuZPYbaRV,1BRtQtljRJIxroJXI20K39
68AdzgpzDTNiy7kORzY0jz,Behaving Badly,https://open.spotify.com/track/68AdzgpzDTNiy7kORzY0jz,266400,False,6,track,spotify:track:68AdzgpzDTNiy7kORzY0jz,1BRtQtljRJIxroJXI20K39
57Cb5IWpLAVDL2Xyy9uaFb,The Price of Everything and the Value of Nothing,https://open.spotify.com/track/57Cb5IWpLAVDL2Xyy9uaFb,332280,False,7,track,spotify:track:57Cb5IWpLAVDL2Xyy9uaFb,1BRtQtljRJIxroJXI20K39
1ZfnGTUnha3QHj3KFmub0W,Cafo,https://open.spotify.com/track/1ZfnGTUnha3QHj3KFmub0W,401120,False,8,track,spotify:track:1ZfnGTUnha3QHj3KFmub0W,1BRtQtljRJIxroJXI20K39
2jCXj0T4qUGmLclOQTSKed,Inamorata,https://open.spotify.com/track/2jCXj0T4qUGmLclOQTSKed,368080,False,9,track,spotify:track:2jCXj0T4qUGmLclOQTSKed,1BRtQtljRJIxroJXI20K39
4UnHhV70A2nwlmtpmNZqaf,Point to Point,https://open.spotify.com/track/4UnHhV70A2nwlmtpmNZqaf,104173,False,10,track,spotify:track:4UnHhV70A2nwlmtpmNZqaf,1BRtQtljRJIxroJXI20K39
1xRloL4YOvq7HatNJOh5pk,Modern Meat,https://open.spotify.com/track/1xRloL4YOvq7HatNJOh5pk,126520,False,11,track,spotify:track:1xRloL4YOvq7HatNJOh5pk,1BRtQtljRJIxroJXI20K39
6XnjQ9NtfWjfnQjbwjDz4V,Song of Solomon,https://open.spotify.com/track/6XnjQ9NtfWjfnQjbwjDz4V,256586,False,12,track,spotify:track:6XnjQ9NtfWjfnQjbwjDz4V,1BRtQtljRJIxroJXI20K39
6QD6PReeaIZ5iZXVEntcKE,Gordian Naught,https://open.spotify.com/track/6QD6PReeaIZ5iZXVEntcKE,288586,False,1,track,spotify:track:6QD6PReeaIZ5iZXVEntcKE,4NZVjgBQQw9iscGkydO5J2
37jURwcKbPTtXm83uv869E,The Problem of Other Minds,https://open.spotify.com/track/37jURwcKbPTtXm83uv869E,152840,False,2,track,spotify:track:37jURwcKbPTtXm83uv869E,4NZVjgBQQw9iscGkydO5J2
5BizG2v5hd43dCSk6Y8l9i,Monomyth,https://open.spotify.com/track/5BizG2v5hd43dCSk6Y8l9i,206511,False,3,track,spotify:track:5BizG2v5hd43dCSk6Y8l9i,4NZVjgBQQw9iscGkydO5J2
2r7FNt9OKoMxqHvMakXWOj,The Problem of Other Minds,https://open.spotify.com/track/2r7FNt9OKoMxqHvMakXWOj,152840,False,1,track,spotify:track:2r7FNt9OKoMxqHvMakXWOj,6eORPuiaqSBDXcFGW626kj
3Irv1S6X9W7FeQlQvyRt0y,Monomyth,https://open.spotify.com/track/3Irv1S6X9W7FeQlQvyRt0y,206511,False,2,track,spotify:track:3Irv1S6X9W7FeQlQvyRt0y,6eORPuiaqSBDXcFGW626kj
0WiLaIOpXOqfyMfCEuKUJ5,Monomyth,https://open.spotify.com/track/0WiLaIOpXOqfyMfCEuKUJ5,206511,False,1,track,spotify:track:0WiLaIOpXOqfyMfCEuKUJ5,4QpUgATVSx1YGHvq8nDwsl
4i3fHA0aGUKUZEbJ5b3RqE,Wave of Babies,https://open.spotify.com/track/4i3fHA0aGUKUZEbJ5b3RqE,329813,False,1,track,spotify:track:4i3fHA0aGUKUZEbJ5b3RqE,5E0bpYwRSYtQ04j91pIOGz
0Vki4IN5tgB0B4NJ8OQCSH,Lost In Time,https://open.spotify.com/track/0Vki4IN5tgB0B4NJ8OQCSH,248095,False,1,track,spotify:track:0Vki4IN5tgB0B4NJ8OQCSH,5tBqYNxRj9fUW6s7OuzBnz
631C7Oowby97AhCsftBWqG,Big Red Balloon,https://open.spotify.com/track/631C7Oowby97AhCsftBWqG,184261,False,2,track,spotify:track:631C7Oowby97AhCsftBWqG,5tBqYNxRj9fUW6s7OuzBnz
3y14fSprTvWLMiTLTt5YSV,Beginning Of The End - Wyld Stallyns Edit,https://open.spotify.com/track/3y14fSprTvWLMiTLTt5YSV,207518,False,3,track,spotify:track:3y14fSprTvWLMiTLTt5YSV,5tBqYNxRj9fUW6s7OuzBnz
2kRCDnS4hEJCSXzAVPM6q3,Story Of Our Lives,https://open.spotify.com/track/2kRCDnS4hEJCSXzAVPM6q3,211831,False,4,track,spotify:track:2kRCDnS4hEJCSXzAVPM6q3,5tBqYNxRj9fUW6s7OuzBnz
1WNW2zcTkvcfASKc8dYyxT,Rufus Lives,https://open.spotify.com/track/1WNW2zcTkvcfASKc8dYyxT,212883,False,5,track,spotify:track:1WNW2zcTkvcfASKc8dYyxT,5tBqYNxRj9fUW6s7OuzBnz
6OIbHU7FAEHzq27rlkZYDi,Circuits Of Time,https://open.spotify.com/track/6OIbHU7FAEHzq27rlkZYDi,163350,False,6,track,spotify:track:6OIbHU7FAEHzq27rlkZYDi,5tBqYNxRj9fUW6s7OuzBnz
5roYywxi6Od72d6d0Zvner,Darkest Night,https://open.spotify.com/track/5roYywxi6Od72d6d0Zvner,135410,False,7,track,spotify:track:5roYywxi6Od72d6d0Zvner,5tBqYNxRj9fUW6s7OuzBnz
4QWm4vWg9I9kCKY5lPQh43,The Death Of Us,https://open.spotify.com/track/4QWm4vWg9I9kCKY5lPQh43,239441,False,8,track,spotify:track:4QWm4vWg9I9kCKY5lPQh43,5tBqYNxRj9fUW6s7OuzBnz
6KDwcdCjSkbHAVGbWyUdDo,Breaker,https://open.spotify.com/track/6KDwcdCjSkbHAVGbWyUdDo,180000,False,9,track,spotify:track:6KDwcdCjSkbHAVGbWyUdDo,5tBqYNxRj9fUW6s7OuzBnz
1QmJNHyicfj7nRyOJ2xjoQ,Right Where You Belong,https://open.spotify.com/track/1QmJNHyicfj7nRyOJ2xjoQ,160574,False,10,track,spotify:track:1QmJNHyicfj7nRyOJ2xjoQ,5tBqYNxRj9fUW6s7OuzBnz
2bRvD0nA11sQFBXCeBkvDB,Face The Music,https://open.spotify.com/track/2bRvD0nA11sQFBXCeBkvDB,269270,False,11,track,spotify:track:2bRvD0nA11sQFBXCeBkvDB,5tBqYNxRj9fUW6s7OuzBnz
5SHVAPMZGbaCjgfUazpfzZ,"That Which Binds Us Through Time: The Chemical, Physical And Biological Nature Of Love; An Exploration Of The Meaning Of Meaning, Part 1",https://open.spotify.com/track/5SHVAPMZGbaCjgfUazpfzZ,234241,False,12,track,spotify:track:5SHVAPMZGbaCjgfUazpfzZ,5tBqYNxRj9fUW6s7OuzBnz
741DrOmeWphVKdoph4LtME,Reptile (Live in London),https://open.spotify.com/track/741DrOmeWphVKdoph4LtME,1096000,True,1,track,spotify:track:741DrOmeWphVKdoph4LtME,1seFtbJIzwuUMR2wczMx2w
2UG11CGTkGRZm2JON8wP1x,Chvrch Bvrner (Live in London),https://open.spotify.com/track/2UG11CGTkGRZm2JON8wP1x,226000,False,2,track,spotify:track:2UG11CGTkGRZm2JON8wP1x,1seFtbJIzwuUMR2wczMx2w
6kbTLFIM8DTvw14IaEFUKW,Remain Indoors (Live in London),https://open.spotify.com/track/6kbTLFIM8DTvw14IaEFUKW,374000,True,3,track,spotify:track:6kbTLFIM8DTvw14IaEFUKW,1seFtbJIzwuUMR2wczMx2w
4josXRiTfWWK71GSYBP3gU,Follow Your Ghost (Live in London),https://open.spotify.com/track/4josXRiTfWWK71GSYBP3gU,400000,True,4,track,spotify:track:4josXRiTfWWK71GSYBP3gU,1seFtbJIzwuUMR2wczMx2w
2qOEdZVHDMHoqXaIwAUSN3,Scarlet (Live in London),https://open.spotify.com/track/2qOEdZVHDMHoqXaIwAUSN3,290000,False,5,track,spotify:track:2qOEdZVHDMHoqXaIwAUSN3,1seFtbJIzwuUMR2wczMx2w
539WpLRDni04o7Wu9ptd1s,Marigold (Live in London),https://open.spotify.com/track/539WpLRDni04o7Wu9ptd1s,378000,False,6,track,spotify:track:539WpLRDni04o7Wu9ptd1s,1seFtbJIzwuUMR2wczMx2w
2zaKi3uxNfRWOM8JcPXHle,It's Only Smiles (Live in London),https://open.spotify.com/track/2zaKi3uxNfRWOM8JcPXHle,308000,False,7,track,spotify:track:2zaKi3uxNfRWOM8JcPXHle,1seFtbJIzwuUMR2wczMx2w
7F9NqdJZpz7onjELNUop08,Psychosphere (Live in London),https://open.spotify.com/track/7F9NqdJZpz7onjELNUop08,352000,True,8,track,spotify:track:7F9NqdJZpz7onjELNUop08,1seFtbJIzwuUMR2wczMx2w
2YtaFr7ZNaAWimZLcElqxr,Blood Eagle (Live in London),https://open.spotify.com/track/2YtaFr7ZNaAWimZLcElqxr,568000,False,9,track,spotify:track:2YtaFr7ZNaAWimZLcElqxr,1seFtbJIzwuUMR2wczMx2w
6SqPIN0OXmzjdgiXEeDsoe,Lune (Live in London),https://open.spotify.com/track/6SqPIN0OXmzjdgiXEeDsoe,467866,False,10,track,spotify:track:6SqPIN0OXmzjdgiXEeDsoe,1seFtbJIzwuUMR2wczMx2w
